,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,3523.b2.txt,2284,1178,696,330,3,0,6
1,1541.b2.txt,2008,877,899,603,2,0,1
2,1528.b2.txt,1721,1060,833,290,6,0,0
3,1532.b2.txt,1483,1001,908,510,10,1,6
4,3501.b2.txt,1703,905,614,269,5,0,10
5,1104.b2i.txt,1866,1076,553,474,2,0,1
6,1006.b2.txt,1812,1013,640,448,0,0,2
7,3508.b2.txt,2043,1087,840,346,4,0,1
8,0140.b2.txt,1972,1001,597,516,4,0,2
9,3511.b2.txt,1943,1118,577,403,4,0,5
10,1057.b2.txt,1787,1128,712,492,1,0,2
11,3504.b2.txt,2069,1088,674,327,7,0,2
12,0300.b2.txt,1733,1325,826,372,2,0,3
13,3506.b2.txt,1812,1070,590,415,3,0,1
14,3503.b2.txt,2117,950,767,355,4,1,6
15,3013.b2.txt,1590,1007,692,400,7,0,9
16,2070.b2.txt,1648,1192,735,497,6,0,3
17,0103.b2.txt,2079,1098,558,378,3,0,1
18,3507.b2.txt,1681,995,953,368,3,0,3
19,0134.b2.txt,1745,924,1198,633,3,0,1
20,3520.b2.txt,2003,1082,689,353,4,0,4
21,1003.b2.txt,1807,1214,805,383,7,0,2
22,3505.b2.txt,1885,1187,752,425,5,0,1
23,1508.b2.txt,1463,1357,606,318,4,0,2
24,4012.b2.txt,1982,1074,645,469,0,0,0
25,2070.b2i.txt,1644,1188,733,495,7,0,3
26,2030.b2.txt,1582,1389,604,568,0,0,0
27,2012.b2.txt,1842,899,768,219,2,0,1
28,1100.b2.txt,1510,1069,743,465,4,0,1
29,3518.b2.txt,1288,1288,573,317,8,1,8
30,4036.b2.txt,1694,985,773,442,10,2,8
31,1112.b2.txt,1882,953,592,352,17,0,4
32,1097.b2.txt,1760,1005,687,529,4,0,2
33,2034.b2.txt,1785,1062,538,523,4,0,3
34,1520.b2.txt,1753,1208,621,428,5,0,4
35,0165.b2.txt,1914,1020,760,304,1,0,0
36,1021.b2.txt,1984,1037,640,352,6,0,3
37,4038.b2.txt,1977,1342,518,507,2,0,2
38,1104.b2.txt,1866,1076,553,474,2,0,1
39,2066.b2.txt,2126,1173,915,503,3,0,3
40,3522.b2.txt,1939,1065,798,545,5,0,0
41,2032.b2.txt,1941,1067,770,370,2,0,4
42,1006.b2i.txt,1812,1013,640,448,0,0,2
43,3020.b2.txt,1798,1097,553,257,2,0,2
44,2028.b2i.txt,1875,1285,799,359,2,0,0
45,0310.b2.txt,2313,952,512,450,5,0,1
46,0139.b2.txt,1545,1247,916,475,2,0,2
47,0313.b2.txt,1514,1043,878,478,7,1,4
48,3519.b2.txt,1657,1215,672,387,5,0,0
49,0308.b2.txt,1557,1013,914,643,1,0,4
50,2019.b2.txt,1640,1175,808,563,1,0,1
51,0200.b2.txt,1765,1145,1040,601,2,0,11
52,1023.b2.txt,1517,954,713,483,5,1,5
53,1533.b2.txt,1797,1208,714,302,7,0,5
54,3525.b2.txt,1810,1105,823,411,5,0,5
55,3509.b2.txt,1918,1015,790,513,3,0,3
56,2028.b2.txt,1897,1300,808,363,2,0,0
