,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,0310.b3.txt,1749,722,804,565,23,6,12
1,0103.b3.txt,2014,622,604,260,23,2,26
2,1533.b3.txt,1714,895,705,340,9,0,17
3,1097.b3.txt,1606,833,911,529,13,1,9
4,0165.b3.txt,1715,656,633,250,44,0,23
5,0171.b3.txt,1648,789,821,316,12,1,20
6,0122.b3.txt,1408,803,605,266,15,2,17
7,0307.b3.txt,1628,742,770,233,12,4,20
8,0139.b3.txt,1978,853,841,367,12,1,8
9,0200.b3.txt,1795,794,854,427,10,0,4
10,2018.b3.txt,1792,1033,683,298,11,0,13
11,1102.b3.txt,1683,708,923,435,4,4,4
12,1520.b3.txt,1196,814,534,294,22,1,30
13,0313.b3.txt,1806,596,801,288,7,2,12
14,2034.b3.txt,1421,1154,598,406,18,0,12
15,1100.b3.txt,1683,823,679,317,14,2,5
16,1057.b3.txt,1819,966,656,371,20,1,15
17,0140.b3.txt,2843,672,587,272,6,0,2
18,1069.b3.txt,1480,713,660,401,37,1,26
19,1508.b3.txt,1528,869,654,315,18,1,19
20,1066.b3.txt,1715,895,970,434,9,0,9
21,0303.b3.txt,1523,773,818,432,2,0,1
22,0304.b3.txt,1718,844,619,444,7,3,9
23,1536.b3.txt,1832,749,684,469,13,3,6
24,1023.b3.txt,1278,737,815,463,8,0,9
25,1112.b3.txt,1626,911,837,468,8,0,9
26,0308.b3.txt,1766,902,845,705,4,1,4
27,1532.b3.txt,1653,863,682,373,20,3,20
28,0130.b3.txt,1579,761,694,427,12,5,12
29,1082.b3.txt,2123,688,914,321,13,3,15
30,0134.b3.txt,1578,941,807,818,11,0,12
31,1534.b3.txt,1707,840,975,497,14,0,10
32,0133.b3.txt,1335,787,562,368,38,4,19
33,0300.b3.txt,1604,847,807,294,24,1,15
34,0105.b3.txt,1411,869,775,396,7,0,8
