,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,0105.b1.txt,2036,1046,683,865,0,0,1
1,1100.b1.txt,1992,1083,1150,561,0,0,0
2,3522.b1.txt,2074,1159,713,468,1,0,4
3,3504.b1.txt,2107,960,723,486,7,0,12
4,2012.b1.txt,1821,1044,650,580,3,0,1
5,2066.b1.txt,1839,1342,604,389,6,0,0
6,4507.b1.txt,2288,1312,767,511,2,0,1
7,1102.b1.txt,2290,978,679,472,0,0,4
8,3513.b1.txt,2160,1267,862,322,2,1,1
9,3509.b1.txt,1795,1070,759,598,1,0,6
10,2012.b1i.txt,1821,1044,650,580,3,0,1
11,0310.b1.txt,2037,966,710,640,5,0,4
12,4503.b1.txt,1865,1101,626,375,2,2,2
13,1081.b1.txt,1916,1126,768,505,2,0,3
14,2032.b1.txt,1823,1241,759,620,2,0,0
15,0313.b1.txt,1717,1065,652,739,0,0,1
16,3519.b1.txt,1460,968,825,460,0,0,3
17,2042.b1.txt,1644,1179,740,615,1,0,2
18,3508.b1.txt,1853,848,1110,565,2,4,1
19,0304.b1.txt,1773,1310,751,623,1,0,0
20,3013.b1.txt,1976,1170,938,364,2,0,0
21,3501.b1.txt,2315,979,926,423,3,1,3
22,1523.b1.txt,1232,1203,860,688,1,1,3
23,1057.b1.txt,1736,1232,757,708,0,1,0
24,3018.b1.txt,1945,1236,684,528,2,0,2
25,3525.b1.txt,1769,1216,742,363,3,0,2
26,1508.b1.txt,2210,1161,762,562,0,0,0
27,1528.b1.txt,2036,1091,567,273,7,0,4
28,1104.b1i.txt,1861,947,716,551,4,0,6
29,1021.b1.txt,1738,921,898,575,1,0,2
30,1006.b1.txt,2030,968,828,525,0,1,5
31,0103.b1.txt,2048,1019,964,241,2,0,3
32,0200.b1.txt,2210,1061,787,824,0,1,2
33,3505.b1.txt,1631,1151,917,746,2,0,4
34,1104.b1.txt,1861,947,716,551,4,0,6
35,1541.b1.txt,2008,812,839,578,1,1,1
36,4035.b1.txt,1566,1145,618,711,1,0,0
37,2070.b1i.txt,2033,1077,538,443,2,0,2
38,3511.b1.txt,1676,1189,897,703,0,0,0
39,3518.b1.txt,1742,1079,584,663,5,0,0
40,1500.b1.txt,2267,870,735,539,1,0,4
41,0307.b1.txt,2075,855,699,289,12,0,3
42,2018.b1.txt,2206,969,794,485,0,1,9
43,3503.b1.txt,2416,815,757,378,0,0,0
44,3506.b1.txt,2291,928,846,317,0,0,3
45,1023.b1.txt,1806,860,1086,806,1,0,5
46,0134.b1.txt,2009,1016,813,666,0,0,0
47,0122.b1.txt,2141,1212,765,518,0,0,0
48,1097.b1.txt,1963,966,946,596,8,0,2
49,4036.b1.txt,1766,1012,990,484,3,0,1
50,3062.b1.txt,2310,907,1004,508,0,0,1
51,1069.b1.txt,1612,829,647,619,6,1,7
52,2049.b1.txt,2146,996,697,520,4,0,1
53,3520.b1.txt,2427,900,859,607,0,1,0
54,1012.b1.txt,2178,964,839,401,0,0,0
55,1066.b1.txt,1927,1028,1087,603,1,0,3
56,2034.b1.txt,1861,977,643,576,5,0,2
57,3515.b1.txt,2296,1053,923,509,2,0,1
58,0308.b1.txt,1918,978,930,729,1,0,0
59,0140.b1.txt,2163,1026,729,544,0,0,0
60,3510.b1.txt,1857,897,960,401,4,1,11
61,4012.b1.txt,2252,971,706,673,1,0,0
62,0139.b1.txt,1892,1216,745,459,0,0,0
63,1520.b1.txt,1977,962,785,523,0,2,2
64,3020.b1.txt,1915,1072,624,406,1,1,4
65,1112.b1.txt,2091,1146,679,594,0,0,0
66,4038.b1.txt,2112,996,747,641,0,0,0
67,3523.b1.txt,2153,1093,1005,503,0,0,9
68,2030.b1.txt,1711,1027,976,646,1,0,0
69,1003.b1.txt,2092,967,979,472,6,0,5
70,2070.b1.txt,2053,1080,540,444,2,0,2
71,2028.b1.txt,1732,1250,573,638,1,0,0
72,0300.b1.txt,1654,919,1168,573,15,0,3
73,0171.b1.txt,2070,1009,634,582,3,0,0
74,1006.b1i.txt,2030,968,828,525,0,1,5
75,2019.b1.txt,1574,1255,800,578,3,0,0
76,0165.b1.txt,2029,965,576,599,9,0,0
77,1532.b1.txt,2185,852,840,444,1,0,2
78,3514.b1.txt,2109,1032,885,413,8,0,1
79,2036.b1.txt,1728,1235,787,648,0,0,0
