,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,0192.a3.txt,1524,1283,561,241,1,0,0
1,4048.a3.txt,2044,1016,703,638,1,1,1
2,4026.a3.txt,2670,1068,895,347,0,1,0
3,0208.a3.txt,1941,1243,462,769,0,0,0
4,2058.a3.txt,1934,1099,615,615,3,0,2
5,0214.a3.txt,1715,971,863,552,5,0,3
6,0169.a3.txt,2169,1048,614,446,2,0,4
7,1094.a3.txt,1873,1298,612,487,1,0,0
8,4047.a3.txt,1595,1266,671,785,1,0,0
9,5007.a3.txt,1894,972,706,450,5,0,5
10,1072.a3.txt,2189,1008,758,509,0,0,0
11,2042.a3.txt,1762,1227,640,614,2,0,0
12,0134.a3.txt,2102,984,1009,595,0,0,0
13,2024.a3.txt,1767,1251,582,516,0,0,0
14,1106.a3.txt,1931,1185,626,413,2,0,1
15,0227.a3.txt,1915,1094,725,492,1,0,1
16,3063.a3.txt,2101,1080,575,634,1,0,1
17,1017.a3.txt,1968,1286,739,580,0,0,0
18,0110.a3.txt,2028,1259,680,504,2,0,1
19,2074.a3.txt,1967,1098,754,524,4,1,4
20,0175.a3.txt,1906,1182,559,381,1,0,0
21,1032.a3.txt,1543,1307,789,683,0,0,0
22,0221.a3.txt,1920,1280,583,327,0,0,0
23,2061.a3.txt,2063,1202,658,556,3,0,0
24,0173.a3.txt,2152,1210,549,520,1,0,1
25,2045.a3.txt,1896,1115,719,458,3,0,2
26,2050.a3.txt,2268,1037,780,366,2,0,1
27,1074.a3.txt,1937,1167,700,455,0,0,0
28,0101.a3.txt,1991,1097,735,452,1,0,3
29,2020.a3.txt,2012,1084,913,619,0,0,1
30,3001.a3.txt,1998,1261,624,412,0,0,0
31,1112.a3.txt,1740,1299,650,539,1,0,0
32,1095.a3.txt,1988,1103,570,400,4,0,3
33,1043.a3.txt,1820,1056,704,643,5,0,2
34,2048.a3.txt,2096,980,719,323,5,0,2
35,2067.a3.txt,1883,1247,623,345,1,0,0
