,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,4020.a2.txt,1627,979,767,489,3,0,3
1,3064.a2.txt,1944,1069,826,401,0,0,0
2,0133.a2.txt,1800,998,949,519,1,0,1
3,0209.a2.txt,2317,892,756,273,2,0,0
4,1067.a2.txt,2359,1280,1041,464,0,0,2
5,1022.a2.txt,2224,1298,541,397,0,1,0
6,0106.a2.txt,1675,1133,735,542,0,1,1
7,1095.a2.txt,1848,1408,600,404,0,0,0
8,2020.a2.txt,2456,766,1212,335,0,0,2
9,5040.a2.txt,2077,1213,632,555,0,0,2
10,1104.a2.txt,1980,1107,836,418,1,0,0
11,5032.a2.txt,2156,1065,863,580,0,1,1
12,0199.a2.txt,1921,1103,880,359,0,0,0
13,0143.a2.txt,1972,1138,921,423,0,0,0
14,2005.a2.txt,2064,1196,724,472,1,0,2
15,2031.a2.txt,1854,1076,984,641,0,0,1
16,3068.a2.txt,1801,1078,699,515,0,1,1
17,0102.a2.txt,1832,1138,647,683,0,1,1
18,3033.a2.txt,1906,1277,629,449,1,0,1
19,1074.a2.txt,1967,1097,890,507,0,0,0
20,2049.a2.txt,1657,1095,562,659,0,1,2
21,0197.a2.txt,1840,952,759,605,1,0,0
22,0146.a2.txt,1605,1435,670,510,0,0,0
23,0179.a2.txt,1987,1205,993,397,0,0,0
24,2062.a2.txt,1651,1220,694,670,1,0,0
25,0226.a2.txt,1830,1118,813,572,0,0,0
26,0139.a2.txt,1797,1203,757,581,0,0,0
27,0156.a2.txt,1785,1076,694,510,1,0,0
28,0155.a2.txt,2036,1268,1140,666,0,0,1
29,4039.a2.txt,1514,1181,616,416,2,0,0
30,5007.a2.txt,2074,1037,815,247,1,0,0
31,2074.a2.txt,2028,949,937,510,2,1,7
32,3040.a2.txt,1605,1311,576,551,0,0,2
33,3067.a2.txt,1940,1125,750,362,1,1,0
34,0224.a2.txt,1727,1097,455,362,4,0,1
35,3001.a2.txt,1192,1325,552,497,0,0,3
36,4001.a2.txt,1737,1340,707,496,0,0,1
37,4014.a2.txt,2138,912,825,500,2,0,4
38,1023.a2.txt,1844,1018,766,778,3,0,0
39,3026.a2.txt,2250,1115,635,458,0,0,1
40,1050.a2.txt,1901,922,945,518,1,0,0
41,0202.a2.txt,2105,1371,783,343,0,0,1
42,1062.a2.txt,2066,1033,726,443,0,0,1
43,0234.a2.txt,2018,944,944,634,2,0,2
44,0188.a2.txt,1598,1065,864,450,1,0,1
45,5002.a2.txt,1508,1253,654,510,0,1,1
46,0236.a2.txt,1537,1128,840,504,0,0,0
47,5029.a2.txt,1920,1237,683,477,1,0,1
48,2040.a2.txt,1941,1112,726,409,6,0,2
49,5008.a2.txt,2195,1084,962,461,0,0,0
50,0122.a2.txt,1852,1072,724,474,1,0,4
51,4043.a2.txt,1323,1260,878,751,0,0,1
52,0223.a2.txt,1923,1019,977,260,0,2,3
53,1097.a2.txt,2082,1083,746,445,1,0,2
54,0118.a2.txt,1760,1439,852,433,1,0,1
55,5016.a2.txt,1728,1245,615,190,0,0,0
56,1036.a2.txt,1682,1267,491,567,0,1,1
57,0219.a2.txt,1541,1278,609,645,0,0,0
58,0137.a2.txt,1677,1225,595,595,0,0,0
59,1060.a2.txt,1385,937,761,624,7,1,3
60,4041.a2.txt,1745,1465,649,414,0,0,0
61,2026.a2.txt,1741,1094,624,435,0,0,2
62,5047.a2.txt,2028,1235,664,536,0,0,0
63,0172.a2.txt,2120,1113,628,497,2,0,0
64,1109.a2.txt,1931,1225,1052,317,0,0,0
65,5018.a2.txt,1763,1103,839,624,0,0,0
66,1090.a2.txt,1969,1221,615,513,0,0,2
67,4008.a2.txt,1576,1162,669,796,0,0,0
68,4048.a2.txt,2148,895,921,524,0,0,1
69,5006.a2.txt,2102,1051,1314,336,0,1,2
70,4003.a2.txt,1846,1372,551,436,0,0,0
71,3020.a2.txt,2087,896,743,330,2,1,0
72,2075.a2.txt,2045,916,997,519,1,0,1
73,5003.a2.txt,1869,1055,1015,654,0,0,1
74,3042.a2.txt,1796,1214,904,724,0,0,0
75,2067.a2.txt,1360,1347,877,381,0,0,0
76,4017.a2.txt,1941,897,897,707,2,0,1
