,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,0158.b6.txt,1524,1259,751,658,2,0,0
1,0198.b6.txt,1545,1195,729,452,3,0,0
2,0107.b6.txt,1754,1216,871,410,1,0,1
3,0157.b6.txt,1217,1397,705,636,2,0,0
4,0185.b6.txt,1626,1324,719,417,2,0,0
5,0178.b6.txt,1765,1121,888,560,1,0,2
6,0318.b6.txt,1757,981,844,461,5,0,2
7,0223.b6.txt,1721,1209,673,636,2,0,0
8,0151.b6.txt,1531,1343,652,565,3,0,0
9,0137.b6.txt,1754,1258,910,535,1,0,0
10,0219.b6.txt,1692,1315,517,378,1,0,0
11,0238.b6.txt,1403,1419,806,419,3,0,0
