,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,0223.a5.txt,1589,1034,677,388,6,3,6
1,0182.a5.txt,2267,1077,740,426,7,0,2
2,2026.a5.txt,1802,840,738,439,4,5,1
3,2035.a5.txt,1811,890,664,468,3,0,0
4,0102.a5.txt,1660,1036,877,269,7,3,5
5,0222.a5.txt,1773,1153,698,417,0,1,1
6,2071.a5.txt,2286,1062,893,401,2,0,1
7,0159.a5.txt,2118,1063,967,334,0,0,0
8,1018.a5.txt,2040,959,899,277,4,1,1
9,0105.a5.txt,1532,1043,555,583,2,4,3
10,2075.a5.txt,1993,818,626,417,10,1,3
11,1022.a5.txt,2388,1158,1059,467,1,0,0
12,1036.a5.txt,1386,946,661,311,5,1,3
13,0134.a5.txt,1754,987,711,474,4,1,3
14,1074.a5.txt,1922,1079,852,535,3,1,1
15,1057.a5.txt,1376,1212,614,344,6,2,2
16,1070.a5.txt,1356,1192,710,318,11,2,2
17,0199.a5.txt,1816,994,774,382,6,5,1
18,0215.a5.txt,1769,956,561,284,9,2,3
19,0188.a5.txt,1568,1048,745,458,6,1,2
20,0219.a5.txt,2067,984,894,605,3,0,3
21,2040.a5.txt,2012,980,851,335,11,0,7
22,1034.a5.txt,1819,1017,750,380,4,3,6
23,0158.a5.txt,1591,1204,764,545,7,0,3
24,0137.a5.txt,1808,1062,578,457,2,2,4
25,1008.a5.txt,1925,1022,879,431,6,0,1
26,1010.a5.txt,2250,885,894,308,5,0,8
27,1021.a5.txt,1838,1147,665,404,4,0,5
28,1094.a5.txt,1489,1354,542,253,9,1,2
29,0108.a5.txt,2103,1063,766,328,7,0,5
30,1072.a5.txt,1400,1063,546,464,5,3,8
31,2028.a5.txt,2034,914,735,440,13,1,1
32,1068.a5.txt,1968,1312,729,510,2,2,1
33,0193.a5.txt,2190,1078,836,397,1,0,1
34,1081.a5.txt,2055,1080,908,421,2,0,4
35,2039.a5.txt,1278,988,737,424,12,2,3
36,1062.a5.txt,1490,870,773,451,7,2,6
37,1104.a5.txt,1672,992,580,445,9,5,6
38,2019.a5.txt,1808,1167,668,365,9,5,2
39,1005.a5.txt,1810,1006,585,359,3,1,4
40,0178.a5.txt,1532,1021,796,463,9,5,3
41,0122.a5.txt,1759,1027,723,366,6,0,1
42,1023.a5.txt,1656,1000,680,438,8,3,3
43,0238.a5.txt,1900,1146,669,329,3,1,0
44,2050.a5.txt,1671,872,683,461,7,3,9
45,1112.a5.txt,2012,1093,1025,524,6,0,1
46,1012.a5.txt,1977,1026,742,325,3,0,0
47,0106.a5.txt,1998,965,849,656,2,0,0
48,1095.a5.txt,1493,1045,817,421,7,1,1
49,0227.a5.txt,1627,930,763,349,12,2,1
50,1032.a5.txt,2161,1164,665,574,0,0,1
51,0234.a5.txt,1590,923,513,333,10,6,4
52,2032.a5.txt,1691,904,989,338,4,1,3
53,2015.a5.txt,1847,946,765,333,4,2,5
54,1064.a5.txt,2195,1252,610,585,2,0,2
55,1088.a5.txt,1363,1120,859,330,7,0,0
56,2020.a5.txt,2012,914,817,255,5,1,2
57,2048.a5.txt,1480,766,1029,323,14,1,5
58,0128.a5.txt,1948,1134,833,484,1,6,0
59,2045.a5.txt,1919,1036,739,324,6,2,2
60,0185.a5.txt,1809,1049,725,222,4,3,3
61,0140.a5.txt,1718,1031,633,280,6,3,2
62,0192.a5.txt,1660,1118,652,440,9,2,2
63,1041.a5.txt,1648,871,725,440,12,3,6
64,1043.a5.txt,1475,1117,628,541,8,1,0
65,1065.a5.txt,1820,968,728,389,10,3,4
66,0121.a5.txt,1545,1030,614,383,6,0,6
67,2014.a5.txt,2202,1019,833,459,5,0,3
68,2066.a5.txt,2146,1169,852,278,6,2,0
69,0161.a5.txt,2193,882,971,259,3,0,3
70,0111.a5.txt,1671,1046,682,308,7,6,4
71,0104.a5.txt,1899,936,639,369,5,3,6
72,1014.a5.txt,1875,1033,800,350,6,3,3
73,0187.a5.txt,2285,1106,780,363,5,1,5
74,0171.a5.txt,1572,953,524,386,15,2,2
75,2034.a5.txt,1716,885,610,374,6,2,12
76,0139.a5.txt,1342,1196,525,315,9,3,5
77,0119.a5.txt,1841,1095,738,232,7,3,3
78,2058.a5.txt,1440,939,616,346,8,1,5
79,0163.a5.txt,2323,929,883,434,1,0,0
80,0198.a5.txt,2140,1012,807,370,2,0,0
81,1121.a5.txt,1521,1071,679,510,4,2,2
82,0165.a5.txt,2056,989,831,289,5,0,4
83,1003.a5.txt,2217,1048,720,243,4,0,0
84,1048.a5.txt,2163,1012,677,412,3,0,6
85,1050.a5.txt,1611,1108,765,483,6,4,1
86,2012.a5.txt,2039,831,718,370,5,2,6
87,0112.a5.txt,2165,1082,644,581,3,0,3
88,0186.a5.txt,1961,968,887,399,6,0,1
89,1102.a5.txt,2076,1011,695,316,3,1,1
90,0214.a5.txt,1643,1107,670,312,9,4,2
91,2049.a5.txt,2277,1138,1106,340,5,1,0
92,0206.a5.txt,1482,953,708,358,5,1,5
93,2007.a5.txt,1536,874,706,561,7,4,2
94,0197.a5.txt,1482,888,375,334,7,1,5
95,1061.a5.txt,1465,1077,589,236,15,2,3
96,0157.a5.txt,1739,1174,635,591,3,0,0
97,1055.a5.txt,1806,1069,1051,461,1,2,1
98,0130.a5.txt,1673,937,745,288,14,2,1
99,1100.a5.txt,1592,1122,574,325,4,1,4
100,0149.a5.txt,2581,1239,826,365,1,0,2
101,1099.a5.txt,1542,1111,612,336,11,1,0
102,2036.a5.txt,1818,1127,622,443,4,0,2
103,2005.a5.txt,1923,1121,620,337,4,1,4
104,0101.a5.txt,2042,1085,764,410,5,1,1
105,1006.a5.txt,1606,1020,659,406,9,4,2
106,0115.a5.txt,1331,1080,752,484,11,2,2
107,0107.a5.txt,2002,1222,780,546,3,0,0
108,0125.a5.txt,2231,1010,885,481,1,0,2
