"planid";"komnr";"objektkode";"zone";"datooprt";"datoopdt";"shape_wkt";"kommunenavn";"zonestatus"
"1309366";"751";"40";"1";"2022-05-12T09:16:59.590Z";"2022-05-12T09:16:59.590Z";"MULTIPOLYGON (((583297.96038424 6233949.68701528, 583297.95947151 6233949.68791126, 583297.42061029 6233950.28931887, 583297.42007155 6233950.29004365, 583297.41967352 6233950.29085428, 583296.82032601 6233951.85914694, 583296.82008218 6233951.86001517, 583296.82 6233951.86091323, 583296.82 6233953.52904802, 583296.82008919 6233953.52998282, 583296.82035356 6233953.5308839, 583297.43966691 6233955.07916727, 583297.4400683 6233955.0799572, 583297.4406041 6233955.08066291, 583298.56936157 6233956.31929942, 583298.57005394 6233956.3199279, 583298.57085227 6233956.32041477, 583299.70549016 6233956.87260521, 583299.70709764 6233956.87322234, 583300.31658557 6233957.04861455, 583300.31937682 6233957.04900249, 583301.58143963 6233957.04395424, 583301.5842455 6233957.04353866, 583302.37895521 6233956.80631188, 583302.38095269 6233956.80546967, 583303.38509135 6233956.24650581, 583303.38678475 6233956.24531761, 583304.25912885 6233955.48675752, 583304.26067492 6233955.4850634, 583304.87854027 6233954.62763798, 583304.87894471 6233954.6269721, 583304.87923992 6233954.62625113, 583305.05196312 6233954.08711511, 583305.05203408 6233954.08688403, 583305.38962394 6233952.93827948, 583305.39002605 6233952.93566666, 583305.40697867 6233952.0680917, 583305.40678454 6233952.06592956, 583305.25025752 6233951.28827942, 583305.24942146 6233951.28583016, 583304.97844579 6233950.73790141, 583304.97738326 6233950.73620571, 583304.58243438 6233950.22755943, 583304.58149102 6233950.22650747, 583304.08747945 6233949.74846396, 583304.0864631 6233949.74760393, 583303.48477778 6233949.30373771, 583303.48208731 6233949.30135111, 583303.47986777 6233949.29852125, 583303.47819093 6233949.29533964, 583303.47711101 6233949.29190916, 583303.47666292 6233949.28834073, 583303.43448381 6233948.07965376, 583303.43437915 6233948.07880228, 583303.43398912 6233948.07803818, 583303.3141118 6233947.88656747, 583303.3124502 6233947.88327172, 583303.31142251 6233947.87972677, 583303.31106373 6233947.87605334, 583303.31138609 6233947.87237653, 583303.40840113 6233947.33879379, 583303.4085559 6233947.33666235, 583303.32003321 6233944.79995161, 583303.31992676 6233944.79913755, 583303.3191919 6233944.79950362, 583302.76205297 6233945.14672056, 583302.7577012 6233945.14875309, 583301.54115756 6233945.54729318, 583301.53673891 6233945.54820522, 583300.32923628 6233945.65779704, 583300.32477439 6233945.65770201, 583299.13432665 6233945.49831152, 583299.12980872 6233945.49715821, 583298.86015301 6233945.39356898, 583298.85934524 6233945.39334756, 583298.8594673 6233945.39417619, 583299.60641752 6233948.37570018, 583299.60700569 6233948.37988572, 583299.60670113 6233948.3841014, 583299.60551745 6233948.38815893, 583299.6035075 6233948.39187711, 583299.60076107 6233948.39508987, 583299.5974008 6233948.39765372, 583299.04059304 6233948.73590143, 583299.03982665 6233948.73648212, 583299.03992524 6233948.73743858, 583299.08714919 6233948.96430459, 583299.08756887 6233948.96834488, 583299.08716354 6233948.97238663, 583299.08594993 6233948.97626312, 583299.08397811 6233948.97981445, 583299.0813294 6233948.98289413, 583299.07811307 6233948.9853751, 583297.99466638 6233949.65758655, 583297.99340634 6233949.65851242, 583297.96038424 6233949.68701528)))";"Aarhus";"Byzone"
"1309332";"751";"40";"1";"2022-05-12T09:16:59.590Z";"2022-05-12T09:16:59.590Z";"MULTIPOLYGON (((581178.72909039 6238557.94994463, 581178.72988442 6238557.95025869, 581209.79899804 6238567.03799943, 581217.68294827 6238569.34698485, 581217.68305188 6238569.34701459, 581252.66882711 6238579.18467019, 581252.67000458 6238579.18485107, 581252.67119094 6238579.18474287, 581268.0733536 6238575.85937809, 581268.07717852 6238575.85893156, 581268.08101811 6238575.85922635, 581268.08473004 6238575.86025154, 581268.08817667 6238575.86196911, 581268.09123025 6238575.8643154, 581268.09377756 6238575.86720341, 581268.09572416 6238575.87052608, 581270.77762632 6238581.66419274, 581270.77805381 6238581.66493518, 581270.77886228 6238581.66521861, 581345.46692929 6238600.60072855, 581345.46797532 6238600.60087377, 581345.46888962 6238600.60034525, 581349.27894519 6238597.79619225, 581349.28249799 6238597.79410454, 581349.28640324 6238597.79278927, 581349.29049515 6238597.79230227, 581349.29460001 6238597.79266421, 581354.71099942 6238598.84080638, 581354.71192005 6238598.84088883, 581354.71213487 6238598.83998982, 581359.18895949 6238565.30830345, 581359.18904978 6238565.30769793, 581362.70193327 6238543.99240488, 581362.70208328 6238543.9915982, 581367.58397787 6238520.43710676, 581367.5840198 6238520.43689277, 581372.03590247 6238496.32252831, 581372.03612576 6238496.32147769, 581375.21072315 6238483.13614987, 581375.211 6238483.13381727, 581375.211 6238483.12705674, 581375.21141859 6238483.1229863, 581380.83496212 6238456.07018224, 581380.83503107 6238456.06981647, 581383.14397797 6238442.43313013, 581383.14401859 6238442.43286934, 581386.04590809 6238422.037646, 581386.04613382 6238422.03636137, 581391.42190794 6238396.38243931, 581391.42205231 6238396.3815542, 581393.50895132 6238378.5964149, 581393.5090139 6238378.59558249, 581395.19884945 6238327.82052374, 581395.19948932 6238327.81612799, 581395.20108368 6238327.81198189, 581398.7445531 6238320.97886178, 581398.7448784 6238320.97805064, 581398.74407352 6238320.97771016, 581392.29874702 6238318.96136208, 581392.29498436 6238318.95974568, 581392.29162981 6238318.95739678, 581392.28882401 6238318.95441386, 581392.2866846 6238318.95092198, 581392.28530127 6238318.94706753, 581390.73825101 6238312.68001682, 581390.73790102 6238312.67904797, 581390.73735739 6238312.67817297, 581385.51887063 6238305.96212047, 581385.51685086 6238305.96016757, 581379.6805613 6238301.7324066, 581379.67938792 6238301.73167482, 581375.42623505 6238299.47212487, 581375.42575865 6238299.47188781, 581372.95244888 6238298.32220866, 581372.95153269 6238298.32183672, 581370.3794702 6238297.42316429, 581370.3785158 6238297.42288328, 581367.72448691 6238296.78311737, 581367.72350379 6238296.7829319, 581365.02849435 6238296.41306784, 581365.02750135 6238296.41298173, 581362.2984696 6238296.3130172, 581362.29753171 6238296.31296076, 581357.76343847 6238295.93303674, 581357.76256001 6238295.93300193, 581353.203418 6238295.95299817, 581353.20258361 6238295.95303673, 581348.66841934 6238296.35296301, 581348.66758526 6238296.35307211, 581344.1824304 6238297.13292516, 581344.18157777 6238297.1331121, 581339.77924824 6238298.30193409, 581339.77875547 6238298.30207857, 581335.23537071 6238299.76188089, 581335.23463968 6238299.76214758, 581330.81635266 6238301.57185555, 581330.81565935 6238301.57217088, 581326.55917384 6238303.7074013, 581326.55562067 6238303.70877763, 581326.55187095 6238303.7094551, 581326.5480608 6238303.70940912, 581326.54432853 6238303.70864137, 581313.91316916 6238299.82512656, 581313.90956664 6238299.82362015, 581313.90632549 6238299.82144246, 581313.90356925 6238299.8186765, 581313.90140299 6238299.81542769, 581313.89990929 6238299.81181989, 581312.36101053 6238294.74303467, 581309.20339228 6238284.47627546, 581309.20228568 6238284.47387286, 581306.71445494 6238280.54829576, 581306.7122105 6238280.54339922, 581303.59630181 6238270.27899422, 581303.59593078 6238270.27811305, 581303.59497725 6238270.27818321, 581280.71496907 6238274.3768264, 581280.71410288 6238274.37707138, 581280.71417662 6238274.37796852, 581286.10699011 6238303.95094575, 581286.10700959 6238303.95105431, 581289.92081147 6238325.53895141, 581289.92111321 6238325.5427905, 581289.92067359 6238325.54661626, 581289.9195089 6238325.55028685, 581289.91766233 6238325.55366618, 581289.91520233 6238325.55662897, 581289.9122201 6238325.55906537, 581289.90882622 6238325.56088506, 581289.9051465 6238325.56202056, 581289.90131737 6238325.5624298, 581289.89748079 6238325.56209758, 581245.19994172 6238317.29917409, 581245.19909819 6238317.29910043, 581245.19915284 6238317.2999454, 581249.98622541 6238346.90965284, 581249.98647102 6238346.91350048, 581249.9859738 6238346.91732376, 581249.98475223 6238346.92098059, 581249.98285169 6238346.92433509, 581249.98034282 6238346.92726259, 581249.97731885 6238346.9296543, 581249.97389216 6238346.93142134, 581249.97019008 6238346.93249805, 581249.9663502 6238346.93284441, 581240.87010222 6238346.87300067, 581240.86989784 6238346.87299828, 581215.27602641 6238346.44301724, 581215.27514741 6238346.44309282, 581215.27545916 6238346.44391815, 581217.87698283 6238351.64596682, 581217.87848866 6238351.65002526, 581217.87908598 6238351.65431264, 581217.87874679 6238351.65862812, 581217.1220006 6238355.66099683, 581208.95800509 6238398.7719731, 581204.23400797 6238424.09695728, 581204.23399185 6238424.09704268, 581194.75100359 6238473.73698121, 581193.77000223 6238478.9259882, 581193.76999778 6238478.92601168, 581189.94400044 6238499.03199769, 581185.00400186 6238525.02599021, 581185.00399811 6238525.02600991, 581180.46100322 6238548.80098314, 581178.7291714 6238557.9490946, 581178.72909039 6238557.94994463)))";"Aarhus";"Byzone"
